"";"c1";"c2";"c3";"c4";"c5";"c6";"Cepa";"Fecha";"Lado"
"75";"9.51726484339966e-01";"3.94652502534058e-02";"9.56998581802976e-08";"1.42418280889374e-16";"2.23207655070500e-30";"1.19210708399575e-46";"FLO";"F1";"F"
"76";"9.96009249599796e-01";"2.17069849382786e-02";"2.59413580447589e-08";"2.02899314624418e-17";"1.56718654974584e-31";"4.39906426591229e-48";"FLO";"F1";"F"
"77";"9.04518971314722e-01";"5.49141263466750e-02";"2.02535228019839e-07";"4.41284537868635e-16";"1.05191855995489e-29";"8.22530467855343e-46";"FLO";"F1";"D"
"78";"8.38125226163161e-01";"7.72845491892585e-02";"4.51417380667896e-07";"1.49387335385989e-15";"5.63957390080809e-29";"6.69782097546571e-45";"FLO";"F1";"D"
"79";"8.30087363476026e-01";"8.01237062751144e-02";"4.92136342069719e-07";"1.70480379448239e-15";"6.76777205368257e-29";"8.41368847803925e-45";"FLO";"F1";"D"
"80";"7.21993028525079e-01";"1.22303453346901e-01";"1.39462826757093e-06";"8.47843935813254e-15";"6.24859784406246e-28";"1.36330104637956e-43";"FLO";"F1";"D"
"81";"7.16654671813179e-01";"1.24612178233221e-01";"1.46237768144172e-06";"9.12560865345254e-15";"6.92162100578505e-28";"1.55010759659929e-43";"FLO";"F1";"D"
"82";"8.50473695486074e-01";"7.29871412945055e-02";"3.93925255278089e-07";"1.21325204506503e-15";"4.23219252680776e-29";"4.67793692493990e-45";"FLO";"F1";"D"
"83";"7.52248151772029e-01";"1.09656414492854e-01";"1.05998007309965e-06";"5.54526559277083e-15";"3.46443903987669e-28";"6.50443103769826e-44";"FLO";"F1";"D"
"84";"8.81613083555486e-01";"6.24525045222281e-02";"2.72943233303633e-07";"6.93898427870485e-16";"1.96004159866781e-29";"1.78830091620069e-45";"FLO";"F1";"D"
"85";"9.09442531998802e-01";"5.33085705052342e-02";"1.89166595002198e-07";"3.97940335027811e-16";"9.12666865457219e-30";"6.89029057322148e-46";"FLO";"F1";"D"
"86";"9.91250906197541e-01";"2.44372973294770e-02";"3.34451511037769e-08";"2.95906480682875e-17";"2.61746798836250e-31";"8.31102200416858e-48";"FLO";"F1";"D"
"87";"5.65099690445076e-03";"9.37158458958337e-01";"2.08301905153473e-02";"1.23974664316609e-07";"1.78098419834646e-17";"3.80409631320253e-30";"FLO";"F2";"F"
"88";"2.17552806625281e-05";"2.06366199601005e-01";"3.93226960359238e-01";"1.33865572883452e-04";"1.64861988353279e-12";"2.01417818045099e-23";"FLO";"F2";"F"
"89";"7.06910206141357e-05";"3.17462340071487e-01";"2.65751929819748e-01";"4.28307941546780e-05";"2.31732663538673e-13";"1.34035146181694e-24";"FLO";"F2";"F"
"90";"8.62961757452840e-06";"1.43074186003854e-01";"5.03861815303096e-01";"2.99800891095599e-04";"6.82385822677562e-12";"1.45714646304271e-22";"FLO";"F2";"F"
"91";"5.83374486722242e-05";"2.96836900086564e-01";"2.85081375258762e-01";"5.20584268146563e-05";"3.23138652865371e-13";"2.11769223154362e-24";"FLO";"F2";"F"
"92";"3.61818228596222e-03";"8.84256588479817e-01";"3.01091439590213e-02";"2.64081518306306e-07";"5.81172457991994e-17";"1.82934814197807e-29";"FLO";"F2";"F"
"93";"3.33550824765535e-04";"5.19600569599606e-01";"1.35722369897519e-01";"7.58771085449966e-06";"1.28097160057358e-14";"2.57010329656302e-26";"FLO";"F2";"F"
"94";"4.69428709919487e-03";"9.16564070703428e-01";"2.43802853927173e-02";"1.70837695968572e-07";"2.93701777222632e-17";"7.38589677702398e-30";"FLO";"F2";"F"
"95";"1.58669571494392e-03";"7.64174788904175e-01";"5.48763382627459e-02";"9.48496909269311e-07";"4.40225556914205e-16";"2.73072386559345e-28";"FLO";"F2";"F"
"96";"2.12930549635648e-01";"5.47104334586695e-01";"1.24196400875000e-04";"1.14523056336383e-11";"1.68026854467047e-23";"5.56050653340431e-38";"FLO";"F2";"F"
"97";"2.79889480264680e-03";"8.49227121255473e-01";"3.66849827909903e-02";"3.99463716573236e-07";"1.11529232911662e-16";"4.35842395217969e-29";"FLO";"F2";"D"
"98";"3.10627313898442e-06";"9.30766626419620e-02";"6.28529313110867e-01";"6.75893760658515e-04";"2.94991895296722e-11";"1.13845199746786e-21";"FLO";"F2";"D"
"99";"2.76453533113067e-05";"2.26033218471812e-01";"3.65763919030480e-01";"1.07325451749023e-04";"1.12247901607621e-12";"1.18203907356338e-23";"FLO";"F2";"D"
"100";"3.21996863616923e-06";"9.45343517456886e-02";"6.24201656146547e-01";"6.57680044143743e-04";"2.80670548394104e-11";"1.06130040445019e-21";"FLO";"F2";"D"
"101";"8.65346256653871e-06";"1.43235477659358e-01";"5.03524731441790e-01";"2.99111579814059e-04";"6.79595266308789e-12";"1.44882023886660e-22";"FLO";"F2";"D"
"102";"3.27126826955395e-04";"5.16714566302686e-01";"1.37044672929292e-01";"7.76870161236163e-06";"1.33170125123175e-14";"2.70922346757033e-26";"FLO";"F2";"D"
"103";"9.36693250936768e-05";"3.49500600199757e-01";"2.38620070983079e-01";"3.19528237744230e-05";"1.40998730206027e-13";"6.77593473050383e-25";"FLO";"F2";"D"
"104";"1.88869334507556e-03";"7.91109395591827e-01";"4.87239625124418e-02";"7.32435577315999e-07";"2.91556281214960e-16";"1.57289949198140e-28";"FLO";"F2";"D"
"105";"9.06826673770212e-04";"6.75367697086628e-01";"7.83395980472495e-02";"2.09386692113928e-06";"1.56977368005058e-15";"1.50576264518731e-27";"FLO";"F2";"D"
"106";"2.27484163714262e-01";"5.24362199908560e-01";"1.05633838686219e-04";"8.73846214267241e-12";"1.13776771737768e-23";"3.37782614460613e-38";"FLO";"F2";"D"
"107";"9.91191590585807e-15";"1.54238352918918e-06";"1.27248913326059e-01";"7.10625178517571e-01";"3.78921464574178e-04";"7.59429485364113e-11";"FLO";"F3";"F"
"108";"4.86145373430132e-31";"3.75710860629956e-18";"4.53913978514301e-08";"1.25896277308607e-02";"9.83059057663870e-01";"9.78522190805837e-03";"FLO";"F3";"F"
"109";"7.44761330717825e-24";"8.03940886200340e-13";"8.85065208688741e-05";"3.42873566621015e-01";"2.43967553298461e-01";"3.39189613751097e-05";"FLO";"F3";"F"
"110";"1.38138455899186e-21";"3.38335568409561e-11";"7.28630720744758e-04";"6.40460391196609e-01";"8.91454148950305e-02";"2.81213099730376e-06";"FLO";"F3";"F"
"111";"6.74230408951881e-31";"4.81400897881249e-18";"5.33087830221773e-08";"1.36599486544244e-02";"9.77660011272709e-01";"8.99062511926225e-03";"FLO";"F3";"F"
"112";"4.02580338704609e-18";"8.67175244805651e-09";"1.28798281864120e-02";"9.95671598729417e-01";"9.55798247619987e-03";"2.65169773846750e-08";"FLO";"F3";"F"
"113";"2.99643929001822e-06";"9.16367751674267e-02";"6.32854684856594e-01";"6.94576447293840e-04";"3.10028177501447e-11";"1.22114984656579e-21";"FLO";"F3";"F"
"114";"1.57210814011660e-03";"7.62732422922711e-01";"5.52172070109480e-02";"9.61426228778950e-07";"4.49847287334231e-16";"2.81098401082135e-28";"FLO";"F3";"F"
"115";"4.74767452994194e-15";"9.58538447351878e-07";"1.05311173421906e-01";"7.63053149272959e-01";"5.41834452801220e-04";"1.40896009291674e-10";"FLO";"F3";"F"
"116";"2.72084160815686e-02";"9.85268403886744e-01";"4.10690292142174e-03";"5.33724908470631e-09";"1.43788537166420e-19";"6.70623917816388e-33";"FLO";"F3";"F"
"117";"8.21892721959783e-16";"3.05084546241821e-07";"6.54951661189133e-02";"8.72501257475901e-01";"1.21060374423910e-03";"5.78776068147043e-10";"FLO";"F3";"D"
"118";"4.97768936873985e-31";"3.82501991535166e-18";"4.59223027693857e-08";"1.26643033875270e-02";"9.82693708475398e-01";"9.72584989980551e-03";"FLO";"F3";"D"
"119";"2.08747140421558e-26";"1.09891147122691e-14";"6.91293625806829e-06";"1.30603995474534e-01";"5.31010637762517e-01";"3.60038439760444e-04";"FLO";"F3";"D"
"120";"4.05474875477262e-28";"5.91227604963095e-16";"1.14063840378665e-06";"5.96884749561562e-02";"7.44270287547672e-01";"1.39773523598185e-03";"FLO";"F3";"D"
"121";"2.88570653487316e-30";"1.44572733374714e-17";"1.08424518094041e-07";"1.94945613956147e-02";"9.44934030173581e-01";"6.09732292194243e-03";"FLO";"F3";"D"
"122";"6.51682655887032e-20";"5.06944062408428e-10";"3.09171720628222e-03";"8.63128346573050e-01";"3.40221703429860e-02";"3.40870462867438e-07";"FLO";"F3";"D"
"123";"3.52868397158203e-08";"1.10709665392263e-02";"9.90008777840003e-01";"1.11471426149838e-02";"6.44264167038390e-09";"2.60339597011459e-18";"FLO";"F3";"D"
"124";"2.14746992898260e-04";"4.56199296963389e-01";"1.67620966551900e-01";"1.27793157254073e-05";"3.03478718538635e-14";"8.30346271124196e-26";"FLO";"F3";"D"
"125";"2.21372209902492e-18";"5.76742551358944e-09";"1.05596672649216e-02";"9.87326665194711e-01";"1.16835822039340e-02";"3.92047230183835e-08";"FLO";"F3";"D"
"126";"1.02364854221711e-02";"9.85653900195345e-01";"1.20469977927375e-02";"4.16297825146046e-08";"3.28855750674016e-18";"4.07833119053224e-31";"FLO";"F3";"D"
"127";"4.17029802114429e-01";"3.08061840692325e-01";"1.77492194011805e-05";"4.70545701772863e-13";"1.75222581819386e-25";"1.66711042314014e-40";"ECO";"F1";"F"
"128";"6.06357365243145e-01";"1.78358586454991e-01";"3.73198061451754e-06";"3.93963949457206e-14";"5.32781029422398e-27";"2.01844813664818e-42";"ECO";"F1";"F"
"129";"6.06530659712633e-01";"1.78263979585048e-01";"3.72665317207867e-06";"3.93080548596586e-14";"5.31109224967910e-27";"2.01047261066672e-42";"ECO";"F1";"F"
"130";"5.96307250076099e-01";"1.83906876566985e-01";"4.05379788308840e-06";"4.48685163578863e-14";"6.39223517988446e-27";"2.53912511610788e-42";"ECO";"F1";"F"
