id;V1;V2;V3;V4;V5;V6;V7;V8;V9;LOCALIDAD;PARAMETRO;ANO
I183;0;0;0.0504;0.9721;0.2606;0.0036;0;0;0.0001;La31.75Lo68.75;WS50M;a2007
I184;0;0;0.0592;0.9838;0.2406;0.0031;0;0;0.0001;La31.75Lo68.75;WS50M;a2008
I185;0;0;0.0361;0.9398;0.3036;0.0047;0;0;0.0002;La31.75Lo68.75;WS50M;a2009
I186;0;0;0.0404;0.9518;0.2888;0.0043;0;0;0.0002;La31.75Lo68.75;WS50M;a2010
I187;0;0;0.0371;0.9429;0.2999;0.0046;0;0;0.0002;La31.75Lo68.75;WS50M;a2011
I188;0;0;0.0404;0.9518;0.2888;0.0043;0;0;0.0002;La31.75Lo68.75;WS50M;a2012
I189;0;0;0.0331;0.93;0.315;0.0051;0;0;0.0002;La31.75Lo68.75;WS50M;a2013
I190;0;0;0.0321;0.9266;0.3188;0.0052;0;0;0.0002;La31.75Lo68.75;WS50M;a2014
I191;0;0;0.0518;0.9742;0.2572;0.0035;0;0;0.0001;La31.75Lo68.75;WS50M;a2015
I192;0;0;0.0956;1;0.184;0.0019;0;0;0.0001;La31.75Lo68.75;WS50M;a2016
I193;0;0;0.0452;0.9626;0.2745;0.0039;0;0;0.0002;La31.75Lo68.75;WS50M;a2017
I194;0;0;0.0561;0.9802;0.2471;0.0032;0;0;0.0001;La31.75Lo68.75;WS50M;a2018
I195;0;0;0.0576;0.982;0.2439;0.0032;0;0;0.0001;La31.75Lo68.75;WS50M;a2019
I196;0;0.0003;0.393;0.7905;0.054;0.0003;0;0;0;La31.75Lo68.75;WS10M;a1981
I197;0;0.0003;0.405;0.7801;0.052;0.0003;0;0;0;La31.75Lo68.75;WS10M;a1982
I198;0;0.0003;0.3871;0.7956;0.0551;0.0003;0;0;0;La31.75Lo68.75;WS10M;a1983
I199;0;0.0002;0.358;0.8207;0.0606;0.0003;0;0;0.0001;La31.75Lo68.75;WS10M;a1984
I200;0;0.0003;0.399;0.7853;0.053;0.0003;0;0;0;La31.75Lo68.75;WS10M;a1985
I201;0;0.0001;0.2448;0.9159;0.0905;0.0006;0;0;0.0001;La31.75Lo68.75;WS10M;a1986
I202;0;0.0001;0.3247;0.8494;0.0678;0.0004;0;0;0.0001;La31.75Lo68.75;WS10M;a1987
I203;0;0.0003;0.3871;0.7956;0.0551;0.0003;0;0;0;La31.75Lo68.75;WS10M;a1988
I204;0;0.0003;0.393;0.7905;0.054;0.0003;0;0;0;La31.75Lo68.75;WS10M;a1989
I205;0;0.0003;0.393;0.7905;0.054;0.0003;0;0;0;La31.75Lo68.75;WS10M;a1990
I206;0;0.0003;0.399;0.7853;0.053;0.0003;0;0;0;La31.75Lo68.75;WS10M;a1991
I207;0;0.0001;0.3086;0.863;0.0717;0.0004;0;0;0.0001;La31.75Lo68.75;WS10M;a1992
I208;0;0.0002;0.3695;0.8108;0.0583;0.0003;0;0;0.0001;La31.75Lo68.75;WS10M;a1993
I209;0;0.0001;0.3193;0.854;0.0691;0.0004;0;0;0.0001;La31.75Lo68.75;WS10M;a1994
I210;0;0.0001;0.3301;0.8447;0.0666;0.0004;0;0;0.0001;La31.75Lo68.75;WS10M;a1995
I211;0;0.0003;0.399;0.7853;0.053;0.0003;0;0;0;La31.75Lo68.75;WS10M;a1996
I212;0;0.0003;0.3812;0.8007;0.0561;0.0003;0;0;0.0001;La31.75Lo68.75;WS10M;a1997
I213;0;0.0002;0.3695;0.8108;0.0583;0.0003;0;0;0.0001;La31.75Lo68.75;WS10M;a1998
I214;0;0.0002;0.3695;0.8108;0.0583;0.0003;0;0;0.0001;La31.75Lo68.75;WS10M;a1999
I215;0;0.0002;0.3523;0.8256;0.0617;0.0003;0;0;0.0001;La31.75Lo68.75;WS10M;a2000
I216;0;0.0002;0.358;0.8207;0.0606;0.0003;0;0;0.0001;La31.75Lo68.75;WS10M;a2001
I217;0;0.0001;0.3193;0.854;0.0691;0.0004;0;0;0.0001;La31.75Lo68.75;WS10M;a2002
I218;0;0.0002;0.3695;0.8108;0.0583;0.0003;0;0;0.0001;La31.75Lo68.75;WS10M;a2003
I219;0;0.0001;0.3247;0.8494;0.0678;0.0004;0;0;0.0001;La31.75Lo68.75;WS10M;a2004
I220;0;0.0001;0.3193;0.854;0.0691;0.0004;0;0;0.0001;La31.75Lo68.75;WS10M;a2005
I221;0;0.0002;0.3356;0.84;0.0653;0.0004;0;0;0.0001;La31.75Lo68.75;WS10M;a2006
I222;0;0.0003;0.3871;0.7956;0.0551;0.0003;0;0;0;La31.75Lo68.75;WS10M;a2007
I223;0;0.0004;0.4358;0.7535;0.0471;0.0002;0;0;0;La31.75Lo68.75;WS10M;a2008
I224;0;0.0002;0.358;0.8207;0.0606;0.0003;0;0;0.0001;La31.75Lo68.75;WS10M;a2009
I225;0;0.0002;0.3695;0.8108;0.0583;0.0003;0;0;0.0001;La31.75Lo68.75;WS10M;a2010
I226;0;0.0002;0.3695;0.8108;0.0583;0.0003;0;0;0.0001;La31.75Lo68.75;WS10M;a2011
I227;0;0.0002;0.358;0.8207;0.0606;0.0003;0;0;0.0001;La31.75Lo68.75;WS10M;a2012
I228;0;0.0002;0.3467;0.8305;0.0629;0.0003;0;0;0.0001;La31.75Lo68.75;WS10M;a2013
I229;0;0.0002;0.3523;0.8256;0.0617;0.0003;0;0;0.0001;La31.75Lo68.75;WS10M;a2014
I230;0;0.0003;0.393;0.7905;0.054;0.0003;0;0;0;La31.75Lo68.75;WS10M;a2015
I231;0;0.0006;0.4803;0.715;0.041;0.0002;0;0;0;La31.75Lo68.75;WS10M;a2016
I232;0;0.0003;0.3812;0.8007;0.0561;0.0003;0;0;0.0001;La31.75Lo68.75;WS10M;a2017
I233;0;0.0004;0.4234;0.7642;0.049;0.0002;0;0;0;La31.75Lo68.75;WS10M;a2018
I234;0;0.0004;0.4172;0.7695;0.05;0.0002;0;0;0;La31.75Lo68.75;WS10M;a2019
I235;0;0;0.0175;0.8447;0.4009;0.0082;0;0;0.0002;La31.75Lo68.25;WS50M;a1981
I236;0;0;0.017;0.84;0.4053;0.0084;0;0;0.0002;La31.75Lo68.25;WS50M;a1982
I237;0;0;0.0159;0.8305;0.414;0.0087;0;0;0.0002;La31.75Lo68.25;WS50M;a1983
I238;0;0;0.0154;0.8256;0.4184;0.0089;0;0;0.0002;La31.75Lo68.25;WS50M;a1984
I239;0;0;0.0144;0.8158;0.4273;0.0093;0;0;0.0002;La31.75Lo68.25;WS50M;a1985
I240;0;0;0.0046;0.6354;0.5823;0.0187;0;0;0.0003;La31.75Lo68.25;WS50M;a1986
I241;0;0;0.0069;0.6982;0.5293;0.0149;0;0;0.0003;La31.75Lo68.25;WS50M;a1987
I242;0;0;0.0104;0.7642;0.4728;0.0116;0;0;0.0003;La31.75Lo68.25;WS50M;a1988
I243;0;0;0.0149;0.8207;0.4229;0.0091;0;0;0.0002;La31.75Lo68.25;WS50M;a1989
I244;0;0;0.014;0.8108;0.4318;0.0095;0;0;0.0002;La31.75Lo68.25;WS50M;a1990
I245;0;0;0.0149;0.8207;0.4229;0.0091;0;0;0.0002;La31.75Lo68.25;WS50M;a1991
