"";"V1_Calma";"V2_Ventolina";"V3_BrisaMuyDebil";"V4_BrisaDebilFlojo";"V5_BrisaModerada";"V6_BrisaFresca";"V7_BrisaFuerte";"v8_VientoFuerte";"v9_Temporal";"LOCALIDAD";"PARAMETRO";"MES"
"99";"0e+00";"0.000e+00";"0.000e+00";"4.043e-01";"5.957e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La29.75Lo65.25";"WS50M";"enero"
"100";"0e+00";"0.000e+00";"1.026e-01";"8.974e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La29.75Lo65.25";"WS10M";"enero"
"101";"0e+00";"0.000e+00";"5.897e-01";"4.103e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La29.25Lo69.75";"WS50M";"enero"
"102";"0e+00";"0.000e+00";"6.615e-01";"3.385e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La29.25Lo69.75";"WS10M";"enero"
"103";"0e+00";"0.000e+00";"6.615e-01";"3.385e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La29.25Lo69.25";"WS50M";"enero"
"104";"0e+00";"0.000e+00";"8.051e-01";"1.949e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La29.25Lo69.25";"WS10M";"enero"
"105";"0e+00";"0.000e+00";"3.282e-01";"6.718e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La29.25Lo68.75";"WS50M";"enero"
"106";"0e+00";"0.000e+00";"4.000e-01";"6.000e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La29.25Lo68.75";"WS10M";"enero"
"107";"0e+00";"0.000e+00";"3.487e-01";"6.513e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La29.25Lo68.25";"WS50M";"enero"
"108";"0e+00";"0.000e+00";"5.795e-01";"4.205e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La29.25Lo68.25";"WS10M";"enero"
"109";"0e+00";"0.000e+00";"5.179e-01";"4.821e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La29.25Lo67.75";"WS50M";"enero"
"110";"0e+00";"0.000e+00";"6.769e-01";"3.231e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La29.25Lo67.75";"WS10M";"enero"
"111";"0e+00";"0.000e+00";"4.462e-01";"5.538e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La29.25Lo67.25";"WS50M";"enero"
"112";"0e+00";"0.000e+00";"6.154e-01";"3.846e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La29.25Lo67.25";"WS10M";"enero"
"113";"0e+00";"0.000e+00";"1.128e-01";"8.872e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La29.25Lo66.75";"WS50M";"enero"
"114";"0e+00";"0.000e+00";"4.513e-01";"5.487e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La29.25Lo66.75";"WS10M";"enero"
"115";"0e+00";"0.000e+00";"0.000e+00";"6.565e-01";"3.435e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La29.25Lo66.25";"WS50M";"enero"
"116";"0e+00";"0.000e+00";"1.590e-01";"8.410e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La29.25Lo66.25";"WS10M";"enero"
"117";"0e+00";"0.000e+00";"0.000e+00";"6.217e-01";"3.783e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La29.25Lo65.75";"WS50M";"enero"
"118";"0e+00";"0.000e+00";"2.513e-01";"7.487e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La29.25Lo65.75";"WS10M";"enero"
"119";"0e+00";"0.000e+00";"0.000e+00";"6.696e-01";"3.304e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La29.25Lo65.25";"WS50M";"enero"
"120";"0e+00";"0.000e+00";"4.769e-01";"5.231e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La29.25Lo65.25";"WS10M";"enero"
"121";"0e+00";"0.000e+00";"4.359e-01";"5.641e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La28.75Lo69.75";"WS50M";"enero"
"122";"0e+00";"0.000e+00";"4.462e-01";"5.538e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La28.75Lo69.75";"WS10M";"enero"
"123";"0e+00";"0.000e+00";"3.231e-01";"6.769e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La28.75Lo69.25";"WS50M";"enero"
"124";"0e+00";"0.000e+00";"5.846e-01";"4.154e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La28.75Lo69.25";"WS10M";"enero"
"125";"0e+00";"0.000e+00";"2.000e-01";"8.000e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La28.75Lo68.75";"WS50M";"enero"
"126";"0e+00";"0.000e+00";"3.231e-01";"6.769e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La28.75Lo68.75";"WS10M";"enero"
"127";"0e+00";"0.000e+00";"5.897e-01";"4.103e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La28.75Lo68.25";"WS50M";"enero"
"128";"0e+00";"0.000e+00";"7.385e-01";"2.615e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La28.75Lo68.25";"WS10M";"enero"
