ID;LOCALIDAD;PARAMETRO;MES;Viento
I0476;La30.25Lo66.25;WS10M;marzo;3.95
I0477;La30.25Lo65.75;WS50M;marzo;5.52
I0478;La30.25Lo65.75;WS10M;marzo;3.83
I0479;La30.25Lo65.25;WS50M;marzo;5.32
I0480;La30.25Lo65.25;WS10M;marzo;3.5
I0481;La29.75Lo69.75;WS50M;marzo;3.15
I0482;La29.75Lo69.75;WS10M;marzo;2.75
I0483;La29.75Lo69.25;WS50M;marzo;2.57
I0484;La29.75Lo69.25;WS10M;marzo;2.23
I0485;La29.75Lo68.75;WS50M;marzo;3.23
I0486;La29.75Lo68.75;WS10M;marzo;3.08
I0487;La29.75Lo68.25;WS50M;marzo;3.74
I0488;La29.75Lo68.25;WS10M;marzo;3.02
I0489;La29.75Lo67.75;WS50M;marzo;4
I0490;La29.75Lo67.75;WS10M;marzo;3.27
I0491;La29.75Lo67.25;WS50M;marzo;4.28
I0492;La29.75Lo67.25;WS10M;marzo;3.49
I0493;La29.75Lo66.75;WS50M;marzo;4.65
I0494;La29.75Lo66.75;WS10M;marzo;3.53
I0495;La29.75Lo66.25;WS50M;marzo;5.69
I0496;La29.75Lo66.25;WS10M;marzo;4.07
I0497;La29.75Lo65.75;WS50M;marzo;5.73
I0498;La29.75Lo65.75;WS10M;marzo;3.97
I0499;La29.75Lo65.25;WS50M;marzo;5.67
I0500;La29.75Lo65.25;WS10M;marzo;3.84
I0501;La29.25Lo69.75;WS50M;marzo;3.55
I0502;La29.25Lo69.75;WS10M;marzo;3.2
